"Subject" "Activity" "tBodyAccMag-std()" "tBodyAccMag-min()" "tGravityAccMag-std()" "tGravityAccMag-min()" "tBodyAccJerkMag-std()" "tBodyAccJerkMag-min()" "tBodyGyroMag-std()" "tBodyGyroMag-min()" "tBodyGyroJerkMag-std()" "tBodyGyroJerkMag-min()" "fBodyAccMag-std()" "fBodyAccMag-min()" "fBodyBodyAccJerkMag-std()" "fBodyBodyAccJerkMag-min()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroMag-min()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMag-min()"
"1" 26 "WALKING" -0.47148902 -0.6422661 -0.47148902 -0.6422661 -0.28513496 -0.48194832 -0.52683767 -0.4362455 -0.6255857 -0.70817961 -0.57212909 -0.73707757 -0.20905606 -0.67763362 -0.58977051 -0.84404716 -0.61918827 -0.94803183
"2" 29 "WALKING" -0.20749189 -0.61456235 -0.20749189 -0.61456235 -0.13862962 -0.71726604 -0.39266612 -0.25400668 -0.61729826 -0.3980016 -0.33714157 -0.72393573 -0.2220827 -0.62599415 -0.47308289 -0.95908411 -0.63831682 -0.71218717
"3" 29 "WALKING" -0.15619138 -0.39926306 -0.15619138 -0.39926306 -0.023852591 -0.33891343 -0.33704117 -0.25400668 -0.55356783 -0.31873157 -0.3006773 -0.88232187 -0.018582322 -0.73529784 -0.43628357 -0.81788168 -0.54318353 -0.59936691
"4" 29 "WALKING" -0.23429174 -0.51065836 -0.23429174 -0.51065836 -0.12518641 -0.33891343 -0.37367699 -0.62263803 -0.55457878 -0.35173422 -0.36525886 -0.95359841 -0.14179747 -0.36666648 -0.45351516 -0.70167192 -0.56463172 -0.55384085
"5" 29 "WALKING" -0.23496642 -0.51065836 -0.23496642 -0.51065836 -0.10014186 -0.44402006 -0.36899335 -0.62263803 -0.60458768 -0.52966501 -0.35100946 -0.7734953 -0.1577811 -0.46614408 -0.44492683 -0.96337438 -0.57282826 -0.92297867
"6" 29 "WALKING" -0.19302464 -0.38403605 -0.19302464 -0.38403605 -0.020382343 -0.44402006 -0.30239516 -0.64118511 -0.6107467 -0.52966501 -0.34910093 -0.83705069 -0.034029337 -0.80818437 -0.3606524 -0.78296679 -0.61896477 -0.86041248
"7" 29 "WALKING" -0.22255033 -0.46988355 -0.22255033 -0.46988355 -0.091224219 -0.34364092 -0.27493344 -0.64118511 -0.57177531 -0.43030363 -0.36713676 -0.90188743 -0.1499059 -0.30827306 -0.34177431 -0.94538872 -0.55939509 -0.75699063
"8" 29 "WALKING" -0.26434719 -0.46988355 -0.26434719 -0.46988355 -0.12767596 -0.45914687 -0.28611046 -0.68012662 -0.57645764 -0.69062968 -0.3818928 -0.98006181 -0.13472824 -0.47210985 -0.3909769 -0.66615728 -0.54962934 -0.84616909
"9" 29 "WALKING" -0.32128753 -0.3952041 -0.32128753 -0.3952041 -0.19230705 -0.52040924 -0.32265168 -0.75814897 -0.6348999 -0.69062968 -0.43259761 -0.86560248 -0.19172883 -0.78270904 -0.38771504 -0.66913506 -0.65166516 -0.67349467
"10" 29 "WALKING" -0.34295362 -0.39578495 -0.34295362 -0.39578495 -0.22103727 -0.52040924 -0.36756543 -0.75814897 -0.65941691 -0.68032585 -0.45139232 -0.90469874 -0.29690574 -0.46829004 -0.46664382 -0.91786487 -0.69918032 -0.83402376
"11" 29 "WALKING" -0.27752639 -0.4449709 -0.27752639 -0.4449709 -0.12492468 -0.54654996 -0.36600743 -0.54881809 -0.62452729 -0.68032585 -0.38821592 -0.54557403 -0.14559644 -0.65269219 -0.42964109 -0.92755912 -0.64692637 -0.86630149
"12" 29 "WALKING" -0.2266517 -0.59578963 -0.2266517 -0.59578963 -0.080698113 -0.54654996 -0.32920776 -0.54881809 -0.59853545 -0.44144156 -0.34662026 -0.78859335 -0.047536124 -0.54411653 -0.39579148 -0.77198112 -0.59932036 -0.70087636
"13" 29 "WALKING" -0.28730557 -0.59578963 -0.28730557 -0.59578963 -0.18421454 -0.61990792 -0.35164742 -0.45039649 -0.62928729 -0.39497091 -0.40566007 -0.77152418 -0.18765917 -0.61770035 -0.44050739 -0.70084208 -0.6570101 -0.80903249
"14" 29 "WALKING" -0.30289453 -0.51407053 -0.30289453 -0.51407053 -0.26341987 -0.61990792 -0.3741855 -0.63077484 -0.62731271 -0.37356225 -0.41857409 -0.97308131 -0.30691169 -0.65448792 -0.43633128 -0.75295074 -0.64491416 -0.70959006
"15" 29 "WALKING" -0.27855844 -0.62158247 -0.27855844 -0.62158247 -0.26406864 -0.19874484 -0.36012453 -0.63077484 -0.61362327 -0.50168469 -0.39417182 -0.77802041 -0.31544145 -0.79283313 -0.43813023 -0.60872293 -0.64180242 -0.89974488
"16" 29 "WALKING" -0.23486925 -0.54596449 -0.23486925 -0.54596449 -0.12974724 -0.61631501 -0.36283097 -0.62035238 -0.64293255 -0.59451045 -0.36009458 -0.60085305 -0.10483864 -0.94447744 -0.41466505 -0.86733323 -0.66073837 -0.98978631
"17" 29 "WALKING" -0.14026935 -0.56429391 -0.14026935 -0.56429391 0.084065527 -0.68275314 -0.34743799 -0.62035238 -0.56917406 -0.45684153 -0.32846812 -0.66004394 0.066485984 -0.73145123 -0.40534352 -0.706566 -0.56682909 -0.60374272
"18" 29 "WALKING" -0.14082482 -0.59809203 -0.14082482 -0.59809203 0.095072155 -0.68275314 -0.32602385 -0.34786929 -0.5483783 -0.386308 -0.35750707 -0.59203821 0.022152219 -0.75799271 -0.38603868 -0.8892311 -0.54816434 -0.71856584
"19" 29 "WALKING" -0.16428785 -0.65244948 -0.16428785 -0.65244948 -0.014024374 -0.43267447 -0.33258382 -0.51112132 -0.58367798 -0.30582566 -0.35825508 -0.68327898 -0.081161061 -0.34016904 -0.41108377 -0.84104986 -0.60159265 -0.74634272
"20" 29 "WALKING" -0.11655433 -0.65244948 -0.11655433 -0.65244948 -0.035519406 -0.43267447 -0.31269406 -0.65400938 -0.59496835 -0.3622571 -0.29370294 -0.72117572 -0.12334295 -0.68029657 -0.39514031 -0.58629383 -0.59233354 -0.81928069
"21" 29 "WALKING" -0.18569726 -0.59676759 -0.18569726 -0.59676759 -0.10151327 -0.33577873 -0.27084838 -0.65400938 -0.58058933 -0.73813861 -0.3477706 -0.73024299 -0.16690798 -0.87263111 -0.36083361 -0.88373381 -0.56851346 -0.97365071
"22" 29 "WALKING" -0.22723721 -0.73668689 -0.22723721 -0.73668689 -0.11229565 -0.49292275 -0.26109871 -0.68985205 -0.60297978 -0.73813861 -0.37820406 -0.82373198 -0.17533087 -0.50721372 -0.31682192 -0.76848842 -0.62204784 -0.63495731
"23" 29 "WALKING" -0.23239615 -0.73668689 -0.23239615 -0.73668689 -0.15216159 -0.49292275 -0.28682378 -0.74119504 -0.66210636 -0.28729508 -0.38490872 -0.81742443 -0.19424679 -0.6513813 -0.34728499 -0.97446225 -0.69111459 -0.86508447
"24" 29 "WALKING" -0.18447341 -0.52249267 -0.18447341 -0.52249267 -0.058656518 -0.42263146 -0.32146034 -0.74119504 -0.63521697 -0.59463763 -0.31788065 -0.77301498 -0.043692812 -0.58194251 -0.39345631 -0.72765443 -0.66684042 -0.87284903
"25" 29 "WALKING" -0.13103425 -0.65976242 -0.13103425 -0.65976242 0.065963683 -0.42263146 -0.29389646 -0.55249363 -0.59131636 -0.59463763 -0.27622287 -0.90381177 0.035146132 -0.31493349 -0.37627455 -0.59446041 -0.60606305 -0.65675824
"26" 29 "WALKING" -0.24282107 -0.65976242 -0.24282107 -0.65976242 -0.050255876 -0.37188728 -0.31633813 -0.4738045 -0.59281323 -0.16010423 -0.37765734 -0.90666486 -0.072572448 -0.14863079 -0.42168153 -0.95498961 -0.57793963 -0.74429023
"27" 29 "WALKING" -0.33051987 -0.62323851 -0.33051987 -0.62323851 -0.19967974 -0.53992035 -0.34949699 -0.58506236 -0.59238419 -0.49178178 -0.42831788 -0.95851493 -0.22014087 -0.57257556 -0.41341577 -0.91786511 -0.5692149 -0.87798067
"28" 29 "WALKING" -0.35023748 -0.62323851 -0.35023748 -0.62323851 -0.22425962 -0.67066389 -0.3148426 -0.72999496 -0.54047593 -0.49178178 -0.46439502 -0.81747498 -0.24015737 -0.66516182 -0.37739515 -0.78630934 -0.55415811 -0.56433939
"29" 4 "WALKING" -0.52455794 -0.498446 -0.52455794 -0.498446 -0.28148897 -0.73058654 -0.55616938 -0.75248632 -0.75496301 -0.83990645 -0.64019456 -0.84259817 -0.27348285 -0.91273051 -0.58685285 -0.86933694 -0.78452587 -0.99123863
"30" 4 "WALKING" -0.60792503 -0.49898321 -0.60792503 -0.49898321 -0.35705585 -0.68704676 -0.56561162 -0.72707098 -0.7438814 -0.87079952 -0.72243315 -0.70001667 -0.36843398 -0.4272583 -0.60994148 -0.90205277 -0.74868655 -0.94405844
"31" 4 "WALKING" -0.5590094 -0.69374328 -0.5590094 -0.69374328 -0.35421624 -0.62381427 -0.7142064 -0.55858934 -0.75623159 -0.87079952 -0.68071386 -0.83882415 -0.38917341 -0.9679923 -0.78080353 -0.77700089 -0.77535223 -0.78569911
"32" 4 "WALKING" -0.567215 -0.69374328 -0.567215 -0.69374328 -0.37911203 -0.63572402 -0.73118787 -0.55858934 -0.81040669 -0.76169032 -0.67493278 -0.69571878 -0.36405807 -0.59584413 -0.77962238 -0.85800346 -0.82068248 -0.94179652
"33" 4 "WALKING" -0.55581569 -0.57870701 -0.55581569 -0.57870701 -0.38186649 -0.63572402 -0.66209989 -0.64602625 -0.80809629 -0.73124504 -0.6826944 -0.9062148 -0.40277823 -0.63038698 -0.71208148 -0.90726157 -0.81099972 -0.77602637
"34" 4 "WALKING" -0.5454993 -0.58956334 -0.5454993 -0.58956334 -0.38533323 -0.51039974 -0.61965411 -0.64602625 -0.76805193 -0.64387479 -0.64921987 -0.93020688 -0.40128556 -0.87289312 -0.653271 -0.91475663 -0.77970659 -0.91360369
"35" 4 "WALKING" -0.59547762 -0.58956334 -0.59547762 -0.58956334 -0.42958978 -0.47940254 -0.57986145 -0.68926366 -0.77356305 -0.63985682 -0.70809132 -0.83708472 -0.42335165 -0.69534675 -0.61941423 -0.83948903 -0.81146523 -0.82780919
"36" 4 "WALKING" -0.60621522 -0.78973367 -0.60621522 -0.78973367 -0.40481777 -0.54762112 -0.57027046 -0.68926366 -0.78617098 -0.65111509 -0.72163303 -0.8515933 -0.40791013 -0.49675382 -0.59827027 -0.89022489 -0.80574654 -0.89935337
"37" 4 "WALKING" -0.5205691 -0.56845987 -0.5205691 -0.56845987 -0.38413333 -0.29886398 -0.5245545 -0.54199829 -0.75185775 -0.78941554 -0.65130981 -0.86372884 -0.41219023 -0.6450021 -0.56374954 -0.92183299 -0.7888012 -0.89528353
"38" 4 "WALKING" -0.50259786 -0.72133394 -0.50259786 -0.72133394 -0.30329383 -0.74102366 -0.60821437 -0.73969792 -0.70807035 -0.68319935 -0.59926313 -0.84904082 -0.23415074 -0.91881929 -0.65688453 -0.82820452 -0.7160056 -0.84854075
"39" 4 "WALKING" -0.44851537 -0.83001188 -0.44851537 -0.83001188 -0.26078444 -0.89605305 -0.63811021 -0.73969792 -0.67692078 -0.67802607 -0.5696013 -0.92402483 -0.14301724 -0.67720048 -0.70862884 -0.94938404 -0.67886436 -0.93425297
"40" 10 "WALKING" -0.23416067 -0.91185193 -0.23416067 -0.91185193 -0.017432826 -0.81902662 -0.36749773 -0.35822571 -0.62637742 -0.49369573 -0.40420568 -0.79655724 -0.060224781 -0.31060986 -0.42579139 -0.90534866 -0.66185475 -0.88557209
"41" 10 "WALKING" -0.27164605 -0.48725722 -0.27164605 -0.48725722 0.036008377 -0.48079543 -0.4114374 -0.10882247 -0.49304068 -0.43463272 -0.41709662 -0.84487697 0.0021786027 -0.73863252 -0.53081859 -0.72201651 -0.51747014 -0.90395515
"42" 10 "WALKING" -0.2445333 -0.52820434 -0.2445333 -0.52820434 -0.0012575566 -0.48079543 -0.364375 -0.50112513 -0.48912164 -0.5223428 -0.4124263 -0.69531065 -0.0019052833 -0.63549809 -0.47267286 -0.79533892 -0.51274823 -0.79513152
"43" 10 "WALKING" -0.23035609 -0.67540859 -0.23035609 -0.67540859 -0.012155014 -0.7348628 -0.42878353 -0.50112513 -0.5462707 -0.5223428 -0.3737874 -0.45590161 0.075270422 -0.78083709 -0.50651589 -0.86339697 -0.55450453 -0.84378945
"44" 10 "WALKING" -0.27205821 -0.67540859 -0.27205821 -0.67540859 -0.0030056487 -0.7348628 -0.50025545 -0.47303695 -0.53554839 -0.43803055 -0.41257819 -0.85041274 -0.026449868 -0.3072141 -0.59200882 -0.93645886 -0.51285603 -0.93774319
